Profile: i1k conc64 decode: MI355X(MXFP4) vs B200(NVFP4),,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out16_conc64_p128-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out16_conc64_p128-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 136.12 ms (overlap 1.00x) | B200 102.77 ms (overlap 1.21x) | B200/MI355X = 76%",,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,3.414,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/unquant.py(132): apply,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > LayerNorm,3,0,_ZN7ck_tile6kentryILi1ENS_14Layernorm2dFwdINS_29Layernorm2dFwdPipelineOnePassINS_29Layernorm2dFwdPipelineProblemIDF16bDF16bDF16bDF16bfDF16bDF16bDF16bffNS_19Generic2dBlockShapeINS_8sequenceIJLi4ELi128EEEENS5_IJLi4ELi16EEEENS5_IJLi1ELi8EEEEEENS_20Layernorm2dFwdTraitsILb1ELb0ELb1ELb1ELb0ELNS_20Layernorm2dXBiasEnumE0ELNS_23Layernorm2dFusedAddEnumE0ELNS_25Layernorm2dFusedQuantEnumE0EEEEENS_35Layernorm2dFwdPipelineDefaultPolicyEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb0ELb1ELb1EEEvEEEEJNSM_5KargsEEEEvDpT1_,4.402,1.792,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16o128div41_tensorptrbf16gmemalign16o128div41_tensorptrf32gmemalign16o1281_tensorptrf3_0,python/sglang/srt/layers/layernorm.py(641): forward_hip,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(74): layernorm,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > RotaryEmbedding,3,0,"void aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 1, true, false, true, true, 1, true, c10::BFloat16, c10::BFloat16, long>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",9.703,2.494,"void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous namespace)::FusedRopeParams)",python/sglang/srt/layers/attention/dsa/dsa_indexer.py(545): _get_q_k_bf16,/sgl-workspace/sglang/python/sglang/jit_kernel/rope.py(112): apply_rope_inplace,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,2.096,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,,,,,,,,,,,,,
,,,,1,,,2.096,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,2.211,_act_quant_kernel,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,1.96,"void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((anonymous namespace)::FusedStoreCacheParam)",,/sgl-workspace/sglang/python/sglang/jit_kernel/fused_store_index_cache.py(68): fused_store_index_k_cache,,,,,,,,,,,,,,
,,,,1,,,4.703,nvjet_sm100_tss_64x32_64x16_1x2_h_bz_splitK_TNT,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(474): _get_logits_head_gate,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,3.301,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(474): _get_logits_head_gate,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,2.063,triton_poi_fused_mul_unsqueeze_0,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,6.587,"void deep_gemm::sm100_paged_mqa_logits<false, 1u, 32u, 128u, 64u, true, false, 3u, 5u, 256u, 16u, 128u, 256u, float, float, 2u>(unsigned int, unsigned int, unsigned int, unsigned int const*, float*, unsigned int const*, unsigned int const*, unsigned int const*, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",4.065,2.305,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",python/sglang/srt/layers/attention/dsa/dsa_indexer.py(329): rotate_activation,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,,,,,,,,,,,,,
,,,,1,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",4.065,,,python/sglang/srt/layers/attention/dsa/dsa_indexer.py(329): rotate_activation,,,,,,,,,,,,,,,
,,,,2,act_quant_kernel__kernel,5.106,,,python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(142): act_quant,,,,,,,,,,,,,,,
,,,,3,_ZN5aiter32indexer_k_quant_and_cache_kernelIDF16bDB8_LN4vllm18Fp8KVCacheDataTypeE1ELi8ELi8ELi16EEEvPKT_PT0_PKliiiiibb,4.37,,,python/sglang/srt/layers/attention/dsa/dsa_indexer.py(1609): _store_index_k_cache,,,,,,,,,,,,,,,
,,,,4,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT16x16x1024_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA2048_LBSPPB2048_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_4,11.178,,,python/sglang/srt/layers/attention/dsa/dsa_indexer.py(507): _get_logits_head_gate,,,,,,,,,,,,,,,
,,,,5,triton_poi_fused_mul_unsqueeze_0,4.323,,,python/sglang/srt/layers/attention/dsa/dsa_indexer.py(507): _get_logits_head_gate,,,,,,,,,,,,,,,
,,,,6,_gluon_deepgemm_fp8_paged_mqa_logits_preshuffle,5.078,,,python/sglang/jit_kernel/dsa/paged_mqa_logits.py(63): aiter_paged_mqa_logits,,,,,,,,,,,,,,,
,,,,7,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",4.553,,,python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,3.952,nvjet_sm100_tst_128x32_64x11_2x2_2cta_h_bz_TNT,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant.py(13),3,0,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_64_BLOCK_SIZE_N_256_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_0_EVEN_MN_1_cache_modifier_CG,7.339,,,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(259): forward_absorb_prepare,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,fused_kv_cache.py(88),3,0,_fused_qk_rope_cat_and_cache_mla_kernel,4.22,,,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(604): forward_absorb_core,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RadixAttention,3,0,main_kernel,17.506,4.056,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1317): tilelang_sparse_fwd,/sgl-workspace/sglang/python/sglang/srt/layers/attention/utils.py(89): mla_quantize_and_rope_for_fp8,,,,,,,,,,,,,,
,,,,1,main_kernel,17.506,,,python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1317): tilelang_sparse_fwd,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,1.843,set_mla_kv_buffer_kernel,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,19.93,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,5.4,nvjet_sm100_tst_64x32_64x16_2x2_2cta_h_bz_TNT,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,13.601,nvjet_sm100_tst_64x64_64x13_4x1_v_bz_TNT,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant.py(13),3,0,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_64_BLOCK_SIZE_N_256_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,11.402,,,python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(604): forward_absorb_core,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RowParallelLinear,3,0,hgemm_bf16_32x64x256x3_SPK1_W2x1x2_BLDS1_TN_AS1_0,16.573,,,python/sglang/srt/layers/quantization/unquant.py(181): apply,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,Subtotal,,,,174.124,125.123,,72%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,core.py(1504),3,0,_ZN5aiter33reduce_scatter_cross_device_storeIDF16bLi4EEEvPNS_8RankDataENS_11RankSignalsEPNS_6SignalEiiii,14.668,,,python/sglang/srt/distributed/parallel_state.py(685): fused_allreduce_rmsnorm,,,,,,,,,,,,,,,
,,,,1,_ZN5aiter25local_device_load_rmsnormIDF16bLi512ELi2ELb0EEEvNS_11RankSignalsEPT_S3_S3_S3_fiiii,4.487,,,python/sglang/srt/distributed/parallel_state.py(685): fused_allreduce_rmsnorm,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,trtllm_mnnvl_ar.py(265),3,0,,,6.832,"void flashinfer::trtllm_mnnvl_allreduce::twoshotAllreduceKernel<(unsigned char)4, __nv_bfloat16, float4>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16**, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, unsigned int*, bool)",,/sgl-workspace/sglang/python/sglang/srt/layers/flashinfer_comm_fusion.py(720): flashinfer_allreduce_residual_rmsnorm,,,,,,,,,,,,,,
