"Profile: GLM-5.2 i8k conc64 PREFILL (EXTEND) MXFP4 MI355X vs NVFP4 B200, TP4",,,,,,,,,,,,
MI355X trace: in8192_out16_conc64_p128-AMD-TP-0-EXTEND.trace.json.gz,,,,,,,,,,,,
B200 trace: in8192_out16_conc64_p128-NV-TP-0-EXTEND.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 1209.11 ms (overlap 1.00x) | B200 857.07 ms (overlap 1.00x) | B200/MI355X = 71%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > LayerNorm,3,0,_ZN7ck_tile6kentryILi1ENS_14Layernorm2dFwdINS_29Layernorm2dFwdPipelineOnePassINS_29Layernorm2dFwdPipelineProblemIDF16bDF16bDF16bDF16bfDF16bDF16bDF16bffNS_19Generic2dBlockShapeINS_8sequenceIJLi4ELi128EEEENS5_IJLi4ELi16EEEENS5_IJLi1ELi8EEEEEENS_20Layernorm2dFwdTraitsILb1ELb0ELb1ELb1ELb0ELNS_20Layernorm2dXBiasEnumE0ELNS_23Layernorm2dFusedAddEnumE0ELNS_25Layernorm2dFusedQuantEnumE0EEEEENS_35Layernorm2dFwdPipelineDefaultPolicyEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb0ELb1ELb1EEEvEEEEJNSM_5KargsEEEEvDpT1_,7.5,10.9,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16o128div41_tensorptrbf16gmemalign16o128div41_tensorptrf32gmemalign16o1281_tensorptrf3_0,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(658): forward_hip,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(74): layernorm,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > RotaryEmbedding,3,0,"void aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 1, true, false, true, true, 4, true, c10::BFloat16, c10::BFloat16, long>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",28.6,20.8,"void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous namespace)::FusedRopeParams)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(642): _get_q_k_bf16,/sgl-workspace/sglang/python/sglang/jit_kernel/rope.py(112): apply_rope_inplace,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,270.8,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,
,,,,1,,,10.3,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,
,DeepseekV2AttentionMLA,(self),,,,,33.3,_act_quant_kernel,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,6.4,"void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((anonymous namespace)::FusedStoreCacheParam)",,/sgl-workspace/sglang/python/sglang/jit_kernel/fused_store_index_cache.py(68): fused_store_index_k_cache,,
,DeepseekV2AttentionMLA,(self),,,,,40.3,nvjet_sm100_tss_32x128_64x10_1x4_h_bz_TNN,,,,
,DeepseekV2AttentionMLA,(self),,,,,2.7,triton_poi_fused_mul_unsqueeze_0,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,18.5,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(976): _get_topk_ragged,,
,DeepseekV2AttentionMLA,(self),,,,,5.2,_get_k_and_s_triton_kernel,,,,
,DeepseekV2AttentionMLA,(self),,,,,234,"void deep_gemm::sm100_mqa_logits<false, 32u, 128u, false, 4u, 256u, 3u, 5u, 148u, 128u, 256u, float, float, 2u>(unsigned int, unsigned int, unsigned int, unsigned int const*, unsigned int const*, float*, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",181.9,509.9,"(anonymous namespace)::topk_transform_prefill_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long, int const*, long)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(342): rotate_activation,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,
,,,,1,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",8.6,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(342): rotate_activation,,,
,,,,2,act_quant_kernel__kernel,47.1,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(142): act_quant,,,
,,,,3,_ZN5aiter32indexer_k_quant_and_cache_kernelIDF16bDB8_LN4vllm18Fp8KVCacheDataTypeE1ELi8ELi8ELi16EEEvPKT_PT0_PKliiiiibb,5,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(1729): _store_index_k_cache,,,
,,,,4,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x96x256_MI16x16x1_SN_LDSB1_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA512_LBSPPB512_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT1_3_MO40_NTn1_NTA0_NTB4_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW1_SK3_SKFTR0_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA1_VWB1_WSGRA0_WSGRB0_WS64_WG32_8_1,46.7,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(531): _get_logits_head_gate,,,
,,,,5,triton_poi_fused_mul_unsqueeze_0,4.2,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(531): _get_logits_head_gate,,,
,,,,6,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>)",21,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(1190): _get_topk_ragged,,,
