"Profile: GLM-5.2 decode, in1024/out1024, conc4, TP0 (graph-on stats + no-cuda-graph structure)",,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 16.98 ms (overlap 1.00x) | B200 48.05 ms (overlap 1.33x) | B200/MI355X = 283%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > LayerNorm,3,0,_ZN7ck_tile6kentryILi1ENS_14Layernorm2dFwdINS_29Layernorm2dFwdPipelineOnePassINS_29Layernorm2dFwdPipelineProblemIDF16bDF16bDF16bDF16bfDF16bDF16bDF16bffNS_19Generic2dBlockShapeINS_8sequenceIJLi4ELi128EEEENS5_IJLi4ELi16EEEENS5_IJLi1ELi8EEEEEENS_20Layernorm2dFwdTraitsILb1ELb0ELb1ELb1ELb0ELNS_20Layernorm2dXBiasEnumE0ELNS_23Layernorm2dFusedAddEnumE0ELNS_25Layernorm2dFusedQuantEnumE0EEEEENS_35Layernorm2dFwdPipelineDefaultPolicyEEENS_17Default2DEpilogueINS_24Default2DEpilogueProblemIfDF16bLb0ELb1ELb1EEEvEEEEJNSM_5KargsEEEEvDpT1_,5.506,1.829,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16o128div41_tensorptrbf16gmemalign16o128div41_tensorptrf32gmemalign16o1281_tensorptrf3_0,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(612): forward_hip,/sgl-workspace/sglang/python/sglang/srt/layers/layernorm.py(74): layernorm,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > RotaryEmbedding,3,0,"void aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 1, true, false, true, true, 1, true, c10::BFloat16, c10::BFloat16, long>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",9.156,2.161,"void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous namespace)::FusedRopeParams)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(517): _get_q_k_bf16,/sgl-workspace/sglang/python/sglang/jit_kernel/rope.py(112): apply_rope_inplace,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,1.584,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,
,,,,1,,,1.584,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,
,DeepseekV2AttentionMLA,(self),,,,,1.95,_act_quant_kernel,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,1.999,"void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((anonymous namespace)::FusedStoreCacheParam)",,/sgl-workspace/sglang/python/sglang/jit_kernel/fused_store_index_cache.py(68): fused_store_index_k_cache,,
,,,,1,,,4.898,nvjet_sm100_tss_64x8_64x16_1x1_h_bz_splitK_TNT,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(431): _get_logits_head_gate,,
,DeepseekV2AttentionMLA,(self),,,,,3.124,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(431): _get_logits_head_gate,,
,DeepseekV2AttentionMLA,(self),,,,,1.93,triton_poi_fused_mul_unsqueeze_0,,,,
,DeepseekV2AttentionMLA,(self),,,,,4.649,"void deep_gemm::sm100_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 4u, 256u, 128u, 256u, float, 2u>(unsigned int, unsigned int, unsigned int, unsigned int const*, float*, unsigned int const*, unsigned int const*, unsigned int const*, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",,,,
