"Profile: GLM-5 FP4 DECODE  in1024/out1024/conc4  TP-0  (MI355X=mxfp4/ROCm, B200=nvfp4/CUDA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 18.12 ms (overlap 1.00x) | B200 12.28 ms (overlap 1.43x) | B200/MI355X = 68%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,,,,,,
,prepare_mlp,Subtotal,,,,12.282,8.141,,66%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,MoEGate,75,0,hgemm_bf16_16x64x64x6_SPK12_W1x2x1_BLDS1_TN_AS1_0,5.24,7.06,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN,/sgl-workspace/sglang/python/sglang/srt/layers/rocm_linear_utils.py(9): aiter_dsv3_router_gemm,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_v2.py(448): forward,,,,,,,,,,,,,,,,,,,
,DeepseekV2MoE,(self),,,,,2.994,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_v2.py(448): forward,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,TopK,75,0,"void aiter::grouped_topk_kernel<c10::BFloat16, float __vector(4), 1, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)",5.109,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/topk.py(1199): biased_grouped_topk_gpu,,,,,,,,,,,,,,,,,,,,
,,,,1,_fused_append_shared_experts_kernel,3.982,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/triton_utils/fused_moe_triton_kernels.py(1211): fused_append_shared_experts,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,FusedMoE/FlashInferFusedMoE,75,0,,,2.227,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeLinearKernel_object_at__tensorptrbf16gmemalign16o614461441_tensorptri8gmemalign16o307230721_tensorptri8gmemal_0,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/fp4_utils.py(31): _flashinfer_fp4_quantize_impl,,,,,,,,,,,,,,,,,,,
,,,,1,,,6.266,"void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 256, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 256, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)",,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/flashinfer_trtllm.py(848): fused_experts_none_to_flashinfer_trtllm_fp4,,,,,,,,,,,,,,,,,,,
,DeepseekV2MoE,(self),,,,,20.843,bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f,,,,,,,,,,,,,,,,,,,,,
,DeepseekV2MoE,(self),,,,,13.388,bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f,,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,FusedMoE/FlashInferFusedMoE,75,0,"void aiter::opus_moe_sorting_entry<aiter::MoeSortingKernel<aiter::MoeSortingProblemEx<int, float, 1, true, false, false, true, 0> >, aiter::MoeSortingKernel<aiter::MoeSortingProblemEx<int, float, 1, true, false, false, true, 0> >::Kargs>(aiter::MoeSortingKernel<aiter::MoeSortingProblemEx<int, float, 1, true, false, false, true, 0> >::Kargs)",9.641,4.238,"void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)",/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/aiter.py(123): run,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/flashinfer_trtllm.py(848): fused_experts_none_to_flashinfer_trtllm_fp4,,,,,,,,,,,,,,,,,,,
,,,,1,_ZN5aiter30fused_mx_quant_moe_sort_kernelIDF16bN4opus5fp4_tELi256ELi32EEEvPT0_PhPKT_PKiSA_iiiiiiiii,3.955,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/aiter.py(123): run,,,,,,,,,,,,,,,,,,,,
,,,,2,mfma_moe1_silu_mul_afp4_wfp4_bf16_t32x128x256_pm1_async_v32,22.334,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/aiter.py(123): run,,,,,,,,,,,,,,,,,,,,
,,,,3,_ZN5aiter30fused_mx_quant_moe_sort_kernelIDF16bN4opus5fp4_tELi64ELi8EEEvPT0_PhPKT_PKiSA_iiiiiiiii,3.965,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/aiter.py(123): run,,,,,,,,,,,,,,,,,,,,
,DeepseekV2MoE,(self),,,mfma_moe2_afp4_wfp4_bf16_cshuffle_t32x128x256_vscale_fix3_pm1,10.995,,,/sgl-workspace/sglang/python/sglang/srt/layers/moe/moe_runner/aiter.py(123): run,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,core.py(1436),75,0,_ZN5aiter26cross_device_reduce_1stageIDF16bLi4ELb0EEEvPNS_8RankDataES2_NS_11RankSignalsEPNS_6SignalEPT_ii,8.152,,,/sgl-workspace/sglang/python/sglang/srt/distributed/parallel_state.py(737): _all_reduce_out_place,,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,DeepseekV2MLP > MergedColumnParallelLinear,75,0,,,6.339,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o614461441_tensorptri8gmemalign16o307230721_tensorptri8gmem_0,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/fp4_utils.py(31): _flashinfer_fp4_quantize_impl,,,,,,,,,,,,,,,,,,,
,,,,1,,,8.613,kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK21111000_PermutationMNK____MMAAtom_ThrID2_0,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/modelopt_quant.py(135): fp4_gemm,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,DeepseekV2MLP > SiluAndMul,75,0,,,2.877,"void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)",,/sgl-workspace/sglang/python/sglang/jit_kernel/activation.py(57): _run_activation_inplace,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,DeepseekV2MLP > RowParallelLinear,75,0,,,1.794,kernel_cutlass_kernel_flashinferquantizationkernelsnvfp4_quantizeNVFP4QuantizeSwizzledKernel_object_at__tensorptrbf16gmemalign16o5125121_tensorptri8gmemalign16o2562561_tensorptri8gmemalig_0,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/fp4_utils.py(31): _flashinfer_fp4_quantize_impl,,,,,,,,,,,,,,,,,,,
,,,,1,,,7.267,kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0,,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/modelopt_quant.py(135): fp4_gemm,,,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,mxfp4_flashinfer_trtllm_moe.py(442),75,0,,,1.964,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",,/sgl-workspace/sglang/python/sglang/srt/layers/quantization/mxfp4_flashinfer_trtllm_moe.py(442): maybe_fuse_routed_scale_and_shared_add,,,,,,,,,,,,,,,,,,,
,DeepseekV2MoE,Subtotal,,,,73.373,85.870,,117%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,,,,,Dur-1Layer,,Dur-1Forward,,,Optimization and Projection,,,,,,,,,,,,,,,,,,,
LayerType,Section,,#Layer,,MI355X,B200,MI355X,B200,B200/MI355X,Section Speedup,Overall Speedup,Optimized Perf (Accum),,,,,,,,,,,,,,,,,
,,,,,,,,,,0 (Baseline),0 (Baseline),93%,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn_and_capture_last_layer_outputs,,3,,4.130,0.000,12.4,0.0,0%,#DIV/0!,0.1%,93%,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_attn,,3,,0.000,8.141,0.0,24.4,,0.0,0.0%,93%,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,,3,,137.720,111.356,413.2,334.1,81%,1.2,0.4%,94%,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,prepare_mlp,,3,,12.282,8.141,36.8,24.4,66%,1.5,0.1%,94%,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2MLP,,3,,37.136,25.907,111.4,77.7,70%,1.4,0.2%,94%,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,prepare_attn_and_capture_last_layer_outputs,,75,,4.130,0.000,309.8,0.0,0%,#DIV/0!,1.8%,96%,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,prepare_attn,,75,,0.000,8.141,0.0,610.6,,0.0,0.0%,96%,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2AttentionMLA,,75,,137.720,111.356,10329.0,8351.7,81%,1.2,11.2%,107%,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,prepare_mlp,,75,,12.282,8.141,921.2,610.6,66%,1.5,1.8%,109%,,,,,,,,,,,,,,,,,
B: DeepseekV2AttentionMLA + DeepseekV2MoE,DeepseekV2MoE,,75,,73.373,85.870,5503.0,6440.3,117%,0.0,0.0%,109%,,,,,,,,,,,,,,,,,
,Total,,,,,,17636.7,16473.7,93%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,MI355X,,,B200,,,,,,,,,,,,,,,,,,,,,
