"Profile: GLM-5 FP4 DECODE  in1024/out1024/conc4  TP-0  (MI355X=mxfp4/ROCm, B200=nvfp4/CUDA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 18.12 ms (overlap 1.00x) | B200 12.28 ms (overlap 1.43x) | B200/MI355X = 68%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer > RotaryEmbedding,3,0,"void aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 1, true, false, true, true, 1, true, c10::BFloat16, c10::BFloat16, long>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, c10::BFloat16 const*, long const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int, int)",8.665,2.334,"void (anonymous namespace)::fused_rope_kernel<false, 64l, true, __nv_bfloat16, long, 8u>((anonymous namespace)::FusedRopeParams)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(470): _get_q_k_bf16,/sgl-workspace/sglang/python/sglang/jit_kernel/rope.py(112): apply_rope_inplace,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,1.616,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,,,,,,,,,,,,,,,,,,
,,,,1,,,1.616,"void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)",,/sgl-workspace/sglang/python/sglang/jit_kernel/hadamard.py(33): _hadamard_transform_impl,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,2.127,_act_quant_kernel,,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,,,2.085,"void (anonymous namespace)::fused_store_indexer_cache<__nv_bfloat16, long, 6u, true>((anonymous namespace)::FusedStoreCacheParam)",,/sgl-workspace/sglang/python/sglang/jit_kernel/fused_store_index_cache.py(68): fused_store_index_k_cache,,,,,,,,,,,,,,,,,,,
,,,,1,,,5.38,nvjet_sm100_tss_64x8_64x16_1x1_h_bz_splitK_TNT,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(424): _get_logits_head_gate,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,3.327,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(424): _get_logits_head_gate,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,2.027,triton_poi_fused_mul_unsqueeze_0,,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,4.778,"void deep_gemm::sm100_fp8_paged_mqa_logits<1u, 32u, 128u, 64u, true, false, 3u, 4u, 256u, 128u, 256u, float, 2u>(unsigned int, unsigned int, unsigned int, unsigned int const*, float*, unsigned int const*, unsigned int const*, unsigned int const*, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",3.872,2.139,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(310): rotate_activation,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,,,,,,,,,,,,,,,,,,
